C1	94.13	30.68	0.00	100n	0805
C15	86.61	35.56	90.00	100n	0805
C16	83.57	5.54	90.00	1uF	0805
C20	62.23	23.37	90.00	100n	0805
C22	81.79	2.29	90.00	100n	0805
C23	81.79	5.59	90.00	100n	0805
C27	77.94	19.57	270.00	100n	0805
C30	10.93	24.96	90.00	15n	0805
C31	84.98	17.96	0.00	100n	0805
C32	87.01	19.74	0.00	100n	0805
C39	31.71	25.11	90.00	22uF	1210
C40	28.66	25.11	90.00	22uF	1210
C41	34.72	25.16	90.00	22uF	1210
C42	25.74	25.11	90.00	22uF	1210
C50	71.63	33.53	0.00	100n	0805
C51	21.59	17.78	270.00	100n	0805
C52	23.62	17.78	90.00	10uF	1206
C53	72.26	21.72	0.00	100n	0805
D2	24.60	6.27	180.00	BAV199	SOT23
D3	14.99	19.05	180.00	BAV199	SOT23
FID3	8.13	40.39	0.00	FIDUCIAL1X2	FIDUCIAL-1X2
FID5	88.86	38.84	0.00	FIDUCIAL1X2	FIDUCIAL-1X2
FID6	95.00	-6.10	0.00	FIDUCIAL1X2	FIDUCIAL-1X2
K1	16.76	11.43	270.00	G6K-2F-RF	G6K-RF
Q9	81.67	18.47	180.00	2N7002PW	SOT323
R19	88.62	0.24	180.00	1K	0805
R22	78.99	-6.48	180.00	330	1206
R26	79.03	-8.81	180.00	330	1206
R28	81.93	21.01	0.00	33	0805
R43	8.97	24.87	90.00	10K	0805
R58	87.01	21.26	0.00	2K2	0805
R61	79.54	18.68	90.00	330	0805
R99	88.65	2.67	0.00	33	0805
