"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"PURCHASE-URL";"SPICEMODEL";"SPICEPREFIX";"SUPPLIER";"TP_SIGNAL_NAME";"VALUE";
"1";"";"LED3MM";"LED3MM";"LED1";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"TAC_SWITCH_KSC931G-SMD";"TAC_SW_SMD_KSC931G";"S2";"Momentary Switch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.025R / 1W";"RR2512";"R2512";"R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";"";
"1";"0R";"RESISTOR0805";"0805";"R15";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"32";"100n 50v X7R/X5R";"CAP0805";"0805";"C2, C4, C5, C6, C7, C8, C10, C12, C14, C16, C20, C22, C23, C24, C25, C27, C28, C29, C31, C32, C33, C34, C36, C44, C47, C48, C49, C50, C53, C58, C60, C66";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"10K";"RESISTOR0805";"0805";"R1, R32, R39, R40, R42, R66";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"10nF";"CAP0805";"0805";"C37";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10uF 50V X5R/X7R";"CAP1206";"1206";"C26, C35, C43, C51";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"11K";"RESISTOR0805";"0805";"R3, R43";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"130R";"RESISTOR0805";"0805";"R35";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"2";"150K";"RESISTOR0805";"0805";"R37, R41";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"15K";"RESISTOR0805";"0805";"R11";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"16pF";"CAP0805";"0805";"C38";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"180K";"RESISTOR0805";"0805";"R7";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"6";"1K";"RESISTOR0805";"0805";"R2, R19, R20, R25, R27, R46";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"1K4";"RESISTOR0805";"0805";"R6";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"7";"1uF 50V X7R";"CAP0805";"0805";"C9, C11, C13, C15, C45, C46, C54";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"20021521-00010T1LF";"20021521-00010T1LF";"20021521-00010T1LF";"JP1";"MINITEK 127 SHROUDED HDR";"";"";" Minitek127®, Shrouded Board to Board Header, Surface Mount, 10 positions, 1.27mm (0.500in) pitch. ";"609-4054-ND";"";"";"";"AMPHENOL ICC / FCI";"";"";"20021521-00010T1LF";"";"";"";"None";"";"https://pricing.snapeda.com/search/part/20021521-00010T1LF/?ref=eda";"";"";"";"";"";
"1";"22K";"RESISTOR0805";"0805";"R10";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"2";"22uF 10V X5R";"CAP0805";"0805";"C3, C62";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"22uF 25V X5R";"CAP1210";"1210";"C39, C40, C41, C42";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"25K";"RESISTOR0805";"0805";"R44";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"27K";"RESISTOR0805";"0805";"R36";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"2";"27p";"CAP0805";"0805";"C59, C61";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2A NOM / 3.5A LIM";"PTC-";"1812L";"PTC1";"Positive Temperature Coefficient Resistor (PTC)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"2K2";"RESISTOR0805";"0805";"R13, R23, R52, R53, R54, R64, R67";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"2K8";"RESISTOR0805";"0805";"R5";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"3";"2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Q2, Q4, Q9";"Common NMOSFET Parts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-11151";"";"";"";"";"";"";
"7";"330R";"RESISTOR0805";"0805";"R22, R26, R31, R33, R57, R61, R99";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"7";"33R";"RESISTOR0805";"0805";"R14, R17, R21, R24, R28, R29, R65";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"33n";"CAP0805";"0805";"C30";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"390K";"RESISTOR0805";"0805";"R51";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"3SMAJ5923B-TP";"3SMAJ5923B-TP";"DIOM5226X244N";"D5";"Zener Diodes 3W 8.2V";"3SMAJ5923B-TP";"https://www.arrow.com/en/products/3smaj5923b-tp/micro-commercial-components";"Zener Diodes 3W 8.2V";"";"2.44mm";"MCC";"3SMAJ5923B-TP";"";"833-3SMAJ5923B-TP";"https://www.mouser.com/Search/Refine.aspx?Keyword=833-3SMAJ5923B-TP";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"4.7uF 50V X5R";"CAP0805";"0805";"C63, C64";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"4.7uF 50V X7R";"CAP1210";"1210";"C17, C18, C21";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7uH";"L74437368047";"WE-LHMI";"L2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"43K";"RESISTOR0805";"0805";"R9";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"56K";"RESISTOR0805";"0805";"R50";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"5K6";"RESISTOR0805";"0805";"R4";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
